"2600000","千葉県","千葉市中央区",""
"2600852","千葉県","千葉市中央区","青葉町"
"2600804","千葉県","千葉市中央区","赤井町"
"2600002","千葉県","千葉市中央区","旭町"
"2600855","千葉県","千葉市中央区","市場町"
"2600833","千葉県","千葉市中央区","稲荷町"
"2600856","千葉県","千葉市中央区","亥鼻"
"2600834","千葉県","千葉市中央区","今井"
"2600815","千葉県","千葉市中央区","今井町"
"2600018","千葉県","千葉市中央区","院内"
"2600816","千葉県","千葉市中央区","鵜の森町"
"2600811","千葉県","千葉市中央区","大森町"
"2600813","千葉県","千葉市中央区","生実町"
"2600033","千葉県","千葉市中央区","春日"
"2600853","千葉県","千葉市中央区","葛城"
"2600017","千葉県","千葉市中央区","要町"
"2600011","千葉県","千葉市中央区","亀井町"
"2600857","千葉県","千葉市中央区","亀岡町"
"2600835","千葉県","千葉市中央区","川崎町"
"2600802","千葉県","千葉市中央区","川戸町"
"2600016","千葉県","千葉市中央区","栄町"
"2600832","千葉県","千葉市中央区","寒川町"
"2600823","千葉県","千葉市中央区","塩田町"
"2600034","千葉県","千葉市中央区","汐見丘町"
"2600841","千葉県","千葉市中央区","白旗"
"2600021","千葉県","千葉市中央区","新宿"
"2600031","千葉県","千葉市中央区","新千葉"
"2600027","千葉県","千葉市中央区","新田町"
"2600028","千葉県","千葉市中央区","新町"
"2600022","千葉県","千葉市中央区","神明町"
"2600843","千葉県","千葉市中央区","末広"
"2600822","千葉県","千葉市中央区","蘇我蘇我町"
"2600812","千葉県","千葉市中央区","大巌寺町"
"2600844","千葉県","千葉市中央区","千葉寺町"
"2600026","千葉県","千葉市中央区","千葉港"
"2600013","千葉県","千葉市中央区","中央"
"2600024","千葉県","千葉市中央区","中央港"
"2600042","千葉県","千葉市中央区","椿森"
"2600003","千葉県","千葉市中央区","鶴沢町"
"2600023","千葉県","千葉市中央区","出洲港"
"2600005","千葉県","千葉市中央区","道場南"
"2600006","千葉県","千葉市中央区","道場北"
"2600025","千葉県","千葉市中央区","問屋町"
"2600854","千葉県","千葉市中央区","長洲"
"2600826","千葉県","千葉市中央区","新浜町"
"2600801","千葉県","千葉市中央区","仁戸名町"
"2600032","千葉県","千葉市中央区","登戸"
"2600803","千葉県","千葉市中央区","花輪町"
"2600824","千葉県","千葉市中央区","浜野町"
"2600041","千葉県","千葉市中央区","東千葉"
"2600004","千葉県","千葉市中央区","東本町"
"2600015","千葉県","千葉市中央区","富士見"
"2600045","千葉県","千葉市中央区","弁天"
"2600808","千葉県","千葉市中央区","星久喜町"
"2600014","千葉県","千葉市中央区","本千葉町"
"2600012","千葉県","千葉市中央区","本町"
"2600807","千葉県","千葉市中央区","松ケ丘町"
"2600044","千葉県","千葉市中央区","松波"
"2600831","千葉県","千葉市中央区","港町"
"2600814","千葉県","千葉市中央区","南生実町"
"2600842","千葉県","千葉市中央区","南町"
"2600001","千葉県","千葉市中央区","都町"
"2600806","千葉県","千葉市中央区","宮崎"
"2600805","千葉県","千葉市中央区","宮崎町"
"2600825","千葉県","千葉市中央区","村田町"
"2600851","千葉県","千葉市中央区","矢作町"
"2600007","千葉県","千葉市中央区","祐光"
"2600821","千葉県","千葉市中央区","若草"
"2620000","千葉県","千葉市花見川区",""
"2620019","千葉県","千葉市花見川区","朝日ケ丘"
"2620017","千葉県","千葉市花見川区","朝日ケ丘町"
"2620043","千葉県","千葉市花見川区","天戸町"
"2620002","千葉県","千葉市花見川区","内山町"
"2620003","千葉県","千葉市花見川区","宇那谷町"
"2620048","千葉県","千葉市花見川区","柏井"
"2620041","千葉県","千葉市花見川区","柏井町"
"2620023","千葉県","千葉市花見川区","検見川町"
"2620005","千葉県","千葉市花見川区","こてはし台"
